10,30
20,23
30,32
40,45
50,90
60,367
70,253
80,115
90,90
100,98
110,28
120,25
130,24
140,27
150,28
160,35
170,33
180,39
190,40
200,39
210,46
220,65
230,49
240,52
250,58
260,68
270,64
280,73
290,68
300,75
310,65
320,72
330,81
340,3976
350,88
360,581
370,79
380,107
390,115
400,99
410,102
420,102
430,111
440,105
450,110
460,112
470,117
480,121
490,136
500,122
510,124
520,127
530,131
540,134
550,138
560,133
570,152
580,162
590,166
600,170
610,172
620,212
630,174
640,174
650,169
660,7197
670,104
680,102
690,101
700,108
710,112
720,112
730,120
740,123
750,129
760,534
770,695
780,137
790,139
800,134
810,129
820,129
830,127
840,148
850,222
860,149
870,148
880,151
890,151
900,144
910,168
920,172
930,157
940,145
950,145
960,2626
970,159
980,170
990,175
1000,169
1010,164
1020,178
1030,1025
1040,184
1050,185
1060,199
1070,999
1080,2521
1090,5385
1100,194
1110,194
1120,191
1130,192
1140,2057
1150,183
1160,170
1170,187
1180,191
1190,205
1200,184
1210,3018
1220,219
1230,216
1240,1437
1250,237
1260,239
1270,1984
1280,240
1290,223
1300,228
1310,311
1320,243
1330,209
1340,237
1350,253
1360,255
1370,3996
1380,4114
1390,244
1400,362
1410,159
1420,159
1430,156
1440,206
1450,159
1460,158
1470,161
1480,162
1490,169
1500,163
1510,165
1520,165
1530,180
1540,167
1550,167
1560,268
1570,264
1580,266
1590,275
1600,264
1610,262
1620,267
1630,267
1640,273
1650,271
1660,187
1670,186
1680,1754
1690,189
1700,197
1710,252
1720,191
1730,192
1740,194
1750,192
1760,194
1770,194
1780,195
1790,205
1800,201
1810,251
1820,231
1830,205
1840,243
1850,206
1860,207
1870,208
1880,251
1890,210
1900,327
1910,393
1920,286
1930,220
1940,266
1950,218
1960,227
1970,1239
1980,340
1990,241
2000,228
2010,227
2020,226
2030,233
2040,226
2050,250
2060,281
2070,319
2080,309
2090,281
2100,282
2110,479
2120,471
2130,425
2140,513
2150,412
2160,449
2170,1568
2180,256
2190,412
2200,503
2210,404
2220,374
2230,745
2240,370
2250,365
2260,397
2270,372
2280,266
2290,262
2300,260
2310,385
2320,359
2330,269
2340,267
2350,268
2360,274
2370,356
2380,275
2390,337
2400,276
2410,275
2420,311
2430,278
2440,280
2450,321
2460,282
2470,281
2480,302
2490,283
2500,296
2510,346
2520,289
2530,354
2540,428
2550,438
2560,2009
2570,312
2580,514
2590,364
2600,350
2610,431
2620,469
2630,457
2640,558
